,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
153,1,7467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,32.6,959.74,285.36,1245.1,21.76,1223.34
154,1,7397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.12,38.26,871.38,158.48,1029.86,22.12,1007.74
155,1,7421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.63,38.26,871.38,158.48,1029.86,23.63,1006.23
156,1,7556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1,7570,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,31.16,180.27,55.2,235.47,8.99,226.48
158,1,7298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.79,0.0,34.24,0.0,1427.05,210.72,1637.77,66.03,1571.74
159,1,5396,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.66,38.26,871.38,202.66,1074.04,72.66,1001.38
160,1,5704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.23,0.0,32.63,0.0,1431.09,377.84,1808.93,64.86,1744.07
161,1,7503,1.0,0.0,0.0,0.0,0.0,0.0,103.38,0.0,0.0,0.0,0.0,17.95,48.27,779.55,148.74,928.29,122.33,805.96
162,1,7557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.69,32.6,959.74,285.36,1245.1,24.69,1220.41
163,1,7190,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.77,38.26,871.38,158.48,1029.86,21.77,1008.09
164,1,7280,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.07,29.78,1003.92,249.4,1253.32,22.07,1231.25
165,1,5588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.67,35.43,915.56,199.83,1115.39,24.67,1090.72
166,1,6203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83,38.26,871.38,158.48,1029.86,22.83,1007.03
167,1,6582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.01,38.9,861.38,159.12,1020.5,22.01,998.49
168,1,7226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,20.8,0.0,1371.38,120.22,1491.6,46.54,1445.06
169,1,7272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.06,38.26,871.38,158.48,1029.86,21.06,1008.8
