,codigo_x,prediction,actual,veredict,recall,
502,4504,sigue,fue,FP,FN,
503,7395,sigue,sigue,TP,-,
504,214,sigue,sigue,TP,-,
505,7849,fue,sigue,FP,-,
506,7849,fue,sigue,FP,-,
507,849,sigue,sigue,TP,-,
508,849,sigue,sigue,TP,-,
509,6321,fue,fue,TP,-,
510,5232,sigue,sigue,TP,-,
511,4958,sigue,sigue,TP,-,
512,3979,sigue,sigue,TP,-,
513,7854,fue,fue,TP,-,
514,7854,fue,fue,TP,-,
515,854,sigue,sigue,TP,-,
516,854,sigue,sigue,TP,-,
517,442,sigue,sigue,TP,-,
518,7699,fue,fue,TP,-,
519,7330,sigue,sigue,TP,-,
520,7719,sigue,fue,FP,FN,
521,7841,fue,fue,TP,-,
522,7846,sigue,sigue,TP,-,
523,7421,sigue,fue,FP,FN,
524,7776,fue,fue,TP,-,
525,7823,fue,fue,TP,-,
526,7298,sigue,sigue,TP,-,
527,7758,sigue,fue,FP,FN,
528,5396,sigue,sigue,TP,-,
529,5704,sigue,fue,FP,FN,
530,7503,fue,fue,TP,-,
531,7588,sigue,fue,FP,FN,
532,7821,sigue,fue,FP,FN,
533,5588,sigue,fue,FP,FN,
534,6203,sigue,sigue,TP,-,
535,6582,sigue,fue,FP,FN,
536,7392,sigue,fue,FP,FN,
537,7226,sigue,sigue,TP,-,
538,7664,fue,fue,TP,-,
539,3326,sigue,sigue,TP,-,
540,449,sigue,sigue,TP,-,
541,6934,sigue,sigue,TP,-,
542,7137,sigue,sigue,TP,-,
543,6682,sigue,sigue,TP,-,
544,1269,sigue,sigue,TP,-,
545,6006,fue,fue,TP,-,
546,1419,sigue,sigue,TP,-,
547,3525,sigue,sigue,TP,-,
548,7855,fue,fue,TP,-,
549,6885,sigue,sigue,TP,-,
550,4775,sigue,sigue,TP,-,
551,7528,sigue,fue,FP,FN,
552,4832,sigue,sigue,TP,-,
553,7836,fue,fue,TP,-,
554,7824,fue,fue,TP,-,
555,3321,sigue,sigue,TP,-,
556,2112,sigue,fue,FP,FN,
557,624,sigue,sigue,TP,-,
558,6877,sigue,fue,FP,FN,
559,4385,sigue,sigue,TP,-,
560,7378,sigue,fue,FP,FN,
561,366,sigue,sigue,TP,-,
562,7755,fue,fue,TP,-,
563,6206,sigue,sigue,TP,-,
564,4366,fue,fue,TP,-,
565,4366,fue,fue,TP,-,
566,366,sigue,sigue,TP,-,
567,366,sigue,sigue,TP,-,
568,7618,sigue,sigue,TP,-,
569,7840,fue,fue,TP,-,
570,7505,sigue,fue,FP,FN,
571,6600,sigue,sigue,TP,-,
572,7685,fue,sigue,FP,-,
573,7331,sigue,fue,FP,FN,
574,5933,sigue,sigue,TP,-,
575,7170,sigue,sigue,TP,-,
576,5201,sigue,sigue,TP,-,
577,3890,sigue,sigue,TP,-,
578,7834,sigue,sigue,TP,-,
579,7851,fue,fue,TP,-,
580,3652,sigue,fue,FP,FN,
581,1123,sigue,sigue,TP,-,
582,4044,sigue,fue,FP,FN,
583,7593,sigue,fue,FP,FN,
584,7865,fue,fue,TP,-,
585,7866,fue,fue,TP,-,
586,7259,sigue,sigue,TP,-,
587,7312,sigue,fue,FP,FN,
588,7338,sigue,sigue,TP,-,
589,5677,sigue,sigue,TP,-,
590,7737,fue,fue,TP,-,
591,4008,fue,fue,TP,-,
592,6210,sigue,fue,FP,FN,
593,6213,fue,fue,TP,-,
594,7812,fue,fue,TP,-,
595,849,sigue,sigue,TP,-,
596,7536,sigue,sigue,TP,-,
597,7430,sigue,fue,FP,FN,
598,5181,sigue,sigue,TP,-,
599,7655,sigue,fue,FP,FN,
600,7858,fue,fue,TP,-,
601,7057,fue,fue,TP,-,
602,5558,sigue,sigue,TP,-,
603,4746,sigue,fue,FP,FN,
604,7663,sigue,sigue,TP,-,
605,7407,sigue,fue,FP,FN,
606,7828,fue,fue,TP,-,
607,7773,fue,sigue,FP,-,
608,7839,sigue,fue,FP,FN,
609,1424,sigue,sigue,TP,-,
610,5280,sigue,sigue,TP,-,
611,7742,fue,fue,TP,-,
612,7853,fue,fue,TP,-,
613,6461,sigue,sigue,TP,-,
614,6765,sigue,sigue,TP,-,
615,7694,fue,fue,TP,-,
616,6657,sigue,fue,FP,FN,
617,5000,sigue,sigue,TP,-,
618,5644,fue,sigue,FP,-,
619,6638,sigue,sigue,TP,-,
620,7800,fue,sigue,FP,-,
621,6690,sigue,sigue,TP,-,
622,7861,fue,fue,TP,-,
623,7168,sigue,sigue,TP,-,
624,7786,fue,fue,TP,-,
625,4314,sigue,sigue,TP,-,
626,7843,fue,fue,TP,-,
627,7848,sigue,sigue,TP,-,
628,7632,sigue,sigue,TP,-,
629,6504,fue,fue,TP,-,
630,7842,fue,fue,TP,-,
631,7801,fue,fue,TP,-,
632,7604,sigue,fue,FP,FN,
633,7061,fue,fue,TP,-,
634,7805,fue,fue,TP,-,
635,7847,fue,fue,TP,-,
636,7633,sigue,sigue,TP,-,
637,7428,sigue,fue,FP,FN,
638,2897,sigue,sigue,TP,-,
639,7558,sigue,fue,FP,FN,
640,6360,sigue,fue,FP,FN,
641,7614,sigue,sigue,TP,-,
642,3318,sigue,sigue,TP,-,
643,7706,sigue,fue,FP,FN,
644,7804,sigue,sigue,TP,-,
645,5139,sigue,fue,FP,FN,
646,6083,sigue,sigue,TP,-,
647,6766,sigue,sigue,TP,-,
648,4137,sigue,sigue,TP,-,
649,7542,sigue,sigue,TP,-,
650,7756,fue,fue,TP,-,
651,3780,sigue,sigue,TP,-,
652,6205,sigue,sigue,TP,-,
653,5027,sigue,sigue,TP,-,
654,7791,fue,fue,TP,-,
655,7818,sigue,sigue,TP,-,
656,7815,fue,sigue,FP,-,
657,6839,sigue,sigue,TP,-,
658,5646,sigue,sigue,TP,-,
659,7708,sigue,sigue,TP,-,
660,7852,fue,fue,TP,-,
661,7833,fue,fue,TP,-,
662,5679,sigue,fue,FP,FN,
663,7530,fue,sigue,FP,-,
664,6028,sigue,sigue,TP,-,
665,6565,sigue,sigue,TP,-,
666,7731,fue,fue,TP,-,
667,7753,sigue,fue,FP,FN,
668,3676,sigue,sigue,TP,-,
669,3221,sigue,sigue,TP,-,
670,7741,fue,fue,TP,-,
671,7779,sigue,sigue,TP,-,
672,7269,fue,fue,TP,-,
673,7844,fue,fue,TP,-,
674,7845,sigue,sigue,TP,-,
675,2522,sigue,sigue,TP,-,
676,7856,fue,fue,TP,-,
677,236,sigue,fue,FP,FN,
678,7080,sigue,sigue,TP,-,
679,5965,sigue,sigue,TP,-,
680,5447,sigue,sigue,TP,-,
681,6685,fue,sigue,FP,-,
682,5549,sigue,sigue,TP,-,
683,7860,fue,fue,TP,-,
684,854,sigue,sigue,TP,-,
685,7295,fue,sigue,FP,-,
686,6832,sigue,fue,FP,FN,
687,4807,sigue,sigue,TP,-,
688,6821,sigue,fue,FP,FN,
689,7850,fue,fue,TP,-,
690,7862,fue,fue,TP,-,
691,3169,sigue,sigue,TP,-,
692,4514,sigue,sigue,TP,-,
693,7814,sigue,sigue,TP,-,
694,7104,fue,fue,TP,-,
695,7754,sigue,sigue,TP,-,
696,7717,sigue,fue,FP,FN,
697,6014,sigue,sigue,TP,-,
698,7775,sigue,fue,FP,FN,
699,7551,fue,fue,TP,-,
700,7715,fue,fue,TP,-,
701,3827,sigue,sigue,TP,-,
702,5412,sigue,sigue,TP,-,
703,4504,sigue,fue,FP,FN,
704,7395,sigue,sigue,TP,-,
705,214,sigue,sigue,TP,-,
706,7849,fue,sigue,FP,-,
707,6321,fue,fue,TP,-,
708,5232,sigue,sigue,TP,-,
709,4958,sigue,sigue,TP,-,
710,3979,sigue,sigue,TP,-,
711,7854,fue,fue,TP,-,
712,442,sigue,sigue,TP,-,
713,7699,sigue,fue,FP,FN,
714,7857,fue,fue,TP,-,
715,7330,sigue,sigue,TP,-,
716,7719,fue,fue,TP,-,
717,7841,fue,fue,TP,-,
718,7846,sigue,sigue,TP,-,
719,7421,fue,fue,TP,-,
720,7776,fue,fue,TP,-,
721,7823,fue,fue,TP,-,
722,7298,sigue,sigue,TP,-,
723,7758,sigue,fue,FP,FN,
724,5396,sigue,sigue,TP,-,
725,5704,sigue,fue,FP,FN,
726,7503,fue,fue,TP,-,
727,7588,sigue,fue,FP,FN,
728,7821,sigue,fue,FP,FN,
729,5588,sigue,fue,FP,FN,
730,6203,sigue,sigue,TP,-,
731,6582,sigue,fue,FP,FN,
732,7392,sigue,fue,FP,FN,
733,7226,sigue,sigue,TP,-,
734,7664,fue,fue,TP,-,
735,3326,sigue,sigue,TP,-,
736,449,sigue,sigue,TP,-,
737,7863,fue,fue,TP,-,
738,6934,sigue,sigue,TP,-,
739,7137,sigue,sigue,TP,-,
740,6682,sigue,sigue,TP,-,
741,1269,sigue,sigue,TP,-,
742,7864,fue,fue,TP,-,
743,6006,fue,fue,TP,-,
744,1419,sigue,sigue,TP,-,
745,3525,sigue,sigue,TP,-,
746,7859,fue,fue,TP,-,
747,7855,fue,fue,TP,-,
748,6885,sigue,sigue,TP,-,
749,4775,sigue,sigue,TP,-,
750,7528,sigue,fue,FP,FN,
751,4832,sigue,sigue,TP,-,
752,7836,fue,fue,TP,-,
753,7824,fue,fue,TP,-,
